product_title,shopify_product_id
A New Gray - 2 Items,4519377961018
A New Gray - 3 Items,4519378059322
A New Gray - 5 Items,4519378387002
Bayou Babe - 2 Items,4557459652666
Bayou Babe - 3 Items,4557460045882
Bayou Babe - 3 Items Auto renew,4557460045882
Bayou Babe - 5 Items,4557460406330
Blush Dreams - 3 Items,4519459323962
Cast The Dye - 3 Items,4557457358906
Color Pop - 3 Items,4522218684474
Ellie Picks - 2 Items,4399742615610
Ellie Picks - 3 Items,4399742746682
Ellie Picks - 5 Items,4399742910522
Free Fall - 2 Items,4541679042618
Free Fall - 3 Items,4541679108154
Free Fall - 5 Items,4541679599674
Full Bloom - 2 Items,4557441007674
Full Bloom - 3 Items,4557441073210
Full Bloom - 3 Items Auto renew,4557441073210
Full Bloom - 5 Items,4557442252858
Guiding Light - 2 Items,4555742183482
Guiding Light - 3 Items,4555742609466
Guiding Light - 3 Items Auto renew,4555742609466
Guiding Light - 5 Items,4555743821882
Guiding Light - 5 Items Auto renew,4555743821882
Heart Felt - 3 Items,4541684744250
Laguna Getaway - 3 Items,4495555231802
Lunar Flare - 2 Items,4541682417722
Lunar Flare - 3 Items,4541682778170
Lunar Flare - 3 Items Auto renew,4541682778170
Lunar Flare - 5 Items,4541683269690
Namaste In - 2 Items,4557439467578
Namaste In - 3 Items,4557439860794
Namaste In - 5 Items,4557440254010
Namaste In - 5 Items Auto renew,4557440254010
Nightfall - 2 Items,4519392837690
Nightfall - 3 Items,4519392870458
Nightfall - 3 Items Auto renew,4519392870458
Nightfall - 5 Items,4519394148410
Olive Grove - 2 Items,4519443202106
Olive Grove - 3 Items,4519443431482
Olive Grove - 5 Items,4519453163578
Positively Pink - 2 Items,4556891684922
Positively Pink - 2 Items Auto renew,4556891684922
Positively Pink - 3 Items,4556893585466
Positively Pink - 5 Items,4556894175290
Show Your Stripes - 3 Items,4320729464890
Show Your Stripes - 5 Items,4320730775610
Twilight - 3 Items,4494783381562
What A Gem - 2 Items,4557458964538
What A Gem - 3 Items,4557459030074
What A Gem - 3 Items Auto renew,4557459030074
What A Gem - 5 Items,4557459488826
Wild Instinct - 2 Items,4494787018810
Wild Instinct - 3 Items,4494787805242
Wild Instinct - 5 Items,4494788886586
