product_title,shopify_product_id,prod_type
& Chill - 3 Items,4541689856058,3
A New Gray - 3 Items,4519378059322,3
Balanced Beige - 2 Items,4573583736890,2
Balanced Beige - 3 Items,4573584588858,3
Balanced Beige - 3 Items Auto renew,4573584588858,3
Balanced Beige - 5 Item One Time Purchase Gift Auto renew,4577937162298,5
Balanced Beige - 5 Items,4573589995578,5
Balanced Beige - 5 Items Auto renew,4573589995578,5
Ellie Picks - 2 Items,4399742615610,2
Ellie Picks - 3 Items,4399742746682,3
Ellie Picks - 5 Items,4399742910522,5
Free Fall - 2 Items,4541679042618,2
Free Fall - 3 Items,4541679108154,3
Free Fall - 5 Items,4541679599674,5
Fresh Tone - 5 Items,4465957109818,5
Full Bloom - 2 Items,4557441007674,2
Full Bloom - 3 Items,4557441073210,3
Full Bloom - 3 Items Auto renew,4557441073210,3
Full Bloom - 5 Items,4557442252858,5
Glamazon - 2 Items,4574062739514,2
Glamazon - 2 Items Auto renew,4574062739514,2
Glamazon - 3 Items,4574063263802,3
Glamazon - 3 Items Auto renew,4574063263802,3
Glamazon - 5 Items,4574064017466,5
Glamazon - 5 Items Auto renew,4574064017466,5
Gold Rush - 2 Items,4574077812794,2
Gold Rush - 3 Items,4574078500922,3
Gold Rush - 3 Items Auto renew,4574078500922,3
Gold Rush - 5 Items,4574080368698,5
Guiding Light - 2 Items,4555742183482,2
Guiding Light - 3 Items,4555742609466,3
Guiding Light - 3 Items Auto renew,4555742609466,3
Guiding Light - 5 Items,4555743821882,5
Heart Felt - 3 Items,4541684744250,3
Heart Felt - 3 Items Auto renew,4541684744250,3
Heart Felt - 5 Items,4541685858362,5
Lunar Flare - 3 Items,4541682778170,3
May Flowers - 3 Items,207131443218,3
Namaste In - 2 Items,4557439467578,2
Namaste In - 3 Items,4557439860794,3
Namaste In - 5 Items,4557440254010,5
Nightfall - 3 Items,4519392870458,3
Nightfall - 3 Items Auto renew,4519392870458,3
Nightfall - 5 Items,4519394148410,5
Olive Grove - 2 Items,4519443202106,2
Olive Grove - 3 Items,4519443431482,3
Olive Grove - 3 Items Auto renew,4519443431482,3
Olive Grove - 5 Items,4519453163578,5
Positively Pink - 2 Items,4556891684922,2
Positively Pink - 3 Items,4556893585466,3
Positively Pink - 5 Items,4556894175290,5
Press Paws - 3 Items,4541686972474,3
Purple Haze - 2 Items,4574052548666,2
Purple Haze - 2 Items Auto renew,4574052548666,2
Purple Haze - 3 Items,4574053400634,3
Purple Haze - 3 Items Auto renew,4574053400634,3
Purple Haze - 5 Items,4574054285370,5
Purple Haze - 5 Items Auto renew,4574054285370,5
Rise & Shine - 5 Items,2477579599930,5
Show Your Stripes - 2 Items,4320727367738,2
Show Your Stripes - 3 Items,4320729464890,3
Show Your Stripes - 5 Items,4320730775610,5
Urban Instinct - 3 Items,4541676093498,3
Wild Instinct - 2 Items,4494787018810,2
Wild Instinct - 3 Items,4494787805242,3
Wine Down - 2 Items,4574082629690,2
Wine Down - 3 Items,4574083186746,3
Wine Down - 3 Items Auto renew,4574083186746,3
Wine Down - 5 Items,4574084071482,5
Wine Not - 3 Items,4541693788218,3
